KEYWORDS,PULSARID,WEEK_TAG
produksi,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
china,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
catat,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
rekor,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
harga,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
batu,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
bakal,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
nyungsep,0_87317_16_35d94f5eddd5f29130e4b3e035624a27,from 2022-12-09 to 2022-12-15
vietnam,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
carries,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
substantial,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
expansion,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
thinktank,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
finds,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0dmb71,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
code,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
conduct,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
george,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
yeo,0_87317_126_t1_j0dk612,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
code,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
conduct,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
george,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
yeo,0_87317_126_t1_j0di4xc,from 2022-12-09 to 2022-12-15
sikap,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
asean,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
pertemuan,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
dengan,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
uni,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
eropa,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
terpecah,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
soal,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
invasi,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
rusia,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
ke,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
ukraina,0_87317_16_f808e49f674ec88fcf7a06eaa04d10e9,from 2022-12-09 to 2022-12-15
menakar,0_87317_16_ccfa443122672c408d247d72909e9cc3,from 2022-12-09 to 2022-12-15
ancaman,0_87317_16_ccfa443122672c408d247d72909e9cc3,from 2022-12-09 to 2022-12-15
keamanan,0_87317_16_ccfa443122672c408d247d72909e9cc3,from 2022-12-09 to 2022-12-15
nasional,0_87317_16_ccfa443122672c408d247d72909e9cc3,from 2022-12-09 to 2022-12-15
tahun,0_87317_16_ccfa443122672c408d247d72909e9cc3,from 2022-12-09 to 2022-12-15
2023,0_87317_16_ccfa443122672c408d247d72909e9cc3,from 2022-12-09 to 2022-12-15
recorded,0_87317_126_t1_j0d7k16,from 2022-12-09 to 2022-12-15
nokia,0_87317_126_t1_j0d7k16,from 2022-12-09 to 2022-12-15
russian,0_87317_126_t1_j0d1on0,from 2022-12-09 to 2022-12-15
civil,0_87317_126_t1_j0d1on0,from 2022-12-09 to 2022-12-15
2023,0_87317_126_t1_j0d1on0,from 2022-12-09 to 2022-12-15
malaysian,0_87317_126_t1_j0czz4e,from 2022-12-09 to 2022-12-15
airlines,0_87317_126_t1_j0czz4e,from 2022-12-09 to 2022-12-15
flight,0_87317_126_t1_j0czz4e,from 2022-12-09 to 2022-12-15
370,0_87317_126_t1_j0czz4e,from 2022-12-09 to 2022-12-15
theories,0_87317_126_t1_j0czz4e,from 2022-12-09 to 2022-12-15
recorded,0_87317_126_t1_j0cy9vn,from 2022-12-09 to 2022-12-15
nokia,0_87317_126_t1_j0cy9vn,from 2022-12-09 to 2022-12-15
wechat,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
ban,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
particularly,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
cruel,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
group,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
american,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
users,0_87317_126_t1_j0csdpv,from 2022-12-09 to 2022-12-15
vietnam,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
carries,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
substantial,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
expansion,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
thinktank,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
finds,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cp68t,from 2022-12-09 to 2022-12-15
military,0_87317_126_t3_zmrhhe,from 2022-12-09 to 2022-12-15
support,0_87317_126_t3_zmrhhe,from 2022-12-09 to 2022-12-15
philippines,0_87317_126_t3_zmrhhe,from 2022-12-09 to 2022-12-15
south,0_87317_126_t3_zmrhhe,from 2022-12-09 to 2022-12-15
china,0_87317_126_t3_zmrhhe,from 2022-12-09 to 2022-12-15
vietnam,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
carries,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
substantial,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
expansion,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
thinktank,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
finds,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cma7x,from 2022-12-09 to 2022-12-15
tf,0_87317_126_t1_j0clqsi,from 2022-12-09 to 2022-12-15
zuni,0_87317_126_t1_j0clqsi,from 2022-12-09 to 2022-12-15
family,0_87317_126_t1_j0clqsi,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
code,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
conduct,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
george,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
yeo,0_87317_126_t1_j0cilnc,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
code,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
conduct,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
george,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
yeo,0_87317_126_t1_j0ci7hx,from 2022-12-09 to 2022-12-15
world,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
military,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
support,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
philippines,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
south,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
china,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
south,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
china,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
morning,0_87317_126_t3_zmqq34,from 2022-12-09 to 2022-12-15
world,0_87317_126_t3_zmq929,from 2022-12-09 to 2022-12-15
military,0_87317_126_t3_zmq929,from 2022-12-09 to 2022-12-15
support,0_87317_126_t3_zmq929,from 2022-12-09 to 2022-12-15
philippines,0_87317_126_t3_zmq929,from 2022-12-09 to 2022-12-15
south,0_87317_126_t3_zmq929,from 2022-12-09 to 2022-12-15
china,0_87317_126_t3_zmq929,from 2022-12-09 to 2022-12-15
russian,0_87317_126_t1_j0cea9n,from 2022-12-09 to 2022-12-15
civil,0_87317_126_t1_j0cea9n,from 2022-12-09 to 2022-12-15
2023,0_87317_126_t1_j0cea9n,from 2022-12-09 to 2022-12-15
vietnam,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
big,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
push,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
expand,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
south,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
china,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
outposts,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
u.s,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
tank,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
taiwan,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
news,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
2022-12-15,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
17:38:00,0_87317_126_t3_zmq0os,from 2022-12-09 to 2022-12-15
vietnam,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
big,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
push,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
expand,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
outposts,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
u.s,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
tank,0_87317_126_t1_j0cc85a,from 2022-12-09 to 2022-12-15
pakar,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
transfer,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
sebut,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
chelsea,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
bakal,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
datangkan,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
nkunku,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
pada,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
januari,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
2023,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
republika,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
online,0_87317_16_1c0cc3ad400e5193897739a549667eef,from 2022-12-09 to 2022-12-15
pakar,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
dorong,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
anak,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
muda,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
tegaskan,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
kepemimpinan,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
dunia,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
iptek,0_87317_16_1969d39d879c9c040078015b7bc48749,from 2022-12-09 to 2022-12-15
people's,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
liberation,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
army,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
tests,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
india's,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
resolve,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
border,0_87317_16_9a741256109c4f3a7f7f67ca2af21767,from 2022-12-09 to 2022-12-15
meirl,0_87317_126_t1_j0c70zz,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
code,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
conduct,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
george,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
yeo,0_87317_126_t1_j0c5zpj,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
south,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
code,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
conduct,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
george,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
yeo,0_87317_126_t1_j0c43uz,from 2022-12-09 to 2022-12-15
china,0_87317_126_t1_j0c3r9f,from 2022-12-09 to 2022-12-15
meet,0_87317_126_t1_j0c3r9f,from 2022-12-09 to 2022-12-15
asean,0_87317_126_t1_j0c3r9f,from 2022-12-09 to 2022-12-15
halfway,0_87317_126_t1_j0c3r9f,from 2022-12-09 to 2022-12-15
